Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Afghanistan,AFG,"Population ages 0-14, female",SP.POP.0014.FE.IN,8755262
Afghanistan,AFG,"Population ages 0-14, male",SP.POP.0014.MA.IN,9164057
Afghanistan,AFG,"Population ages 15-64, male",SP.POP.1564.MA.IN,11341785
Afghanistan,AFG,"Population ages 15-64, female",SP.POP.1564.FE.IN,11208054
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,42889
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,65171
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,20530683
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,20924078
Africa Eastern and Southern,AFE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Africa Eastern and Southern,AFE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Africa Eastern and Southern,AFE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Africa Eastern and Southern,AFE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Africa Eastern and Southern,AFE,"Population ages 0-14, female",SP.POP.0014.FE.IN,150939629
Africa Eastern and Southern,AFE,"Population ages 0-14, male",SP.POP.0014.MA.IN,153529033
Africa Eastern and Southern,AFE,"Population ages 15-64, male",SP.POP.1564.MA.IN,207422236
Africa Eastern and Southern,AFE,"Population ages 15-64, female",SP.POP.1564.FE.IN,213947837
Africa Eastern and Southern,AFE,"Population ages 80 and above, male",SP.POP.80UP.MA,1244338
Africa Eastern and Southern,AFE,"Population ages 80 and above, female",SP.POP.80UP.FE,2166871
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,379025748
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,371478016
Africa Western and Central,AFW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Africa Western and Central,AFW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Africa Western and Central,AFW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Africa Western and Central,AFW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Africa Western and Central,AFW,"Population ages 0-14, female",SP.POP.0014.FE.IN,104767561
Africa Western and Central,AFW,"Population ages 0-14, male",SP.POP.0014.MA.IN,107748208
Africa Western and Central,AFW,"Population ages 15-64, male",SP.POP.1564.MA.IN,141760331
Africa Western and Central,AFW,"Population ages 15-64, female",SP.POP.1564.FE.IN,140032845
Africa Western and Central,AFW,"Population ages 80 and above, male",SP.POP.80UP.MA,758808
Africa Western and Central,AFW,"Population ages 80 and above, female",SP.POP.80UP.FE,982183
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,252899429
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,256499160
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Albania,ALB,"Population ages 0-14, female",SP.POP.0014.FE.IN,224185
Albania,ALB,"Population ages 0-14, male",SP.POP.0014.MA.IN,243783
Albania,ALB,"Population ages 15-64, male",SP.POP.1564.MA.IN,904111
Albania,ALB,"Population ages 15-64, female",SP.POP.1564.FE.IN,926245
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,44084
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,55236
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1388342
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1357630
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Algeria,DZA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Algeria,DZA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Algeria,DZA,"Population ages 0-14, female",SP.POP.0014.FE.IN,6925557
Algeria,DZA,"Population ages 0-14, male",SP.POP.0014.MA.IN,7218859
Algeria,DZA,"Population ages 15-64, male",SP.POP.1564.MA.IN,14911772
Algeria,DZA,"Population ages 15-64, female",SP.POP.1564.FE.IN,14164205
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,192429
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,259114
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,22614984
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,23549235
American Samoa,ASM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
American Samoa,ASM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
American Samoa,ASM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
American Samoa,ASM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
American Samoa,ASM,"Population ages 0-14, female",SP.POP.0014.FE.IN,6494
American Samoa,ASM,"Population ages 0-14, male",SP.POP.0014.MA.IN,6580
American Samoa,ASM,"Population ages 15-64, male",SP.POP.1564.MA.IN,15738
American Samoa,ASM,"Population ages 15-64, female",SP.POP.1564.FE.IN,15121
American Samoa,ASM,"Population ages 80 and above, male",SP.POP.80UP.MA,186
American Samoa,ASM,"Population ages 80 and above, female",SP.POP.80UP.FE,274
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,23520
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,24001
Andorra,AND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Andorra,AND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Andorra,AND,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Andorra,AND,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Andorra,AND,"Population ages 0-14, female",SP.POP.0014.FE.IN,4840
Andorra,AND,"Population ages 0-14, male",SP.POP.0014.MA.IN,5063
Andorra,AND,"Population ages 15-64, male",SP.POP.1564.MA.IN,30207
Andorra,AND,"Population ages 15-64, female",SP.POP.1564.FE.IN,28279
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,1203
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,1757
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,39502
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,41354
Angola,AGO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Angola,AGO,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Angola,AGO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Angola,AGO,"Population ages 0-14, female",SP.POP.0014.FE.IN,8147813
Angola,AGO,"Population ages 0-14, male",SP.POP.0014.MA.IN,8232452
Angola,AGO,"Population ages 15-64, male",SP.POP.1564.MA.IN,9498452
Angola,AGO,"Population ages 15-64, female",SP.POP.1564.FE.IN,9837983
Angola,AGO,"Population ages 80 and above, male",SP.POP.80UP.MA,45394
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,77203
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,18568216
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,18181690
Antigua and Barbuda,ATG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Antigua and Barbuda,ATG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Antigua and Barbuda,ATG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Antigua and Barbuda,ATG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Antigua and Barbuda,ATG,"Population ages 0-14, female",SP.POP.0014.FE.IN,8375
Antigua and Barbuda,ATG,"Population ages 0-14, male",SP.POP.0014.MA.IN,8625
Antigua and Barbuda,ATG,"Population ages 15-64, male",SP.POP.1564.MA.IN,31499
Antigua and Barbuda,ATG,"Population ages 15-64, female",SP.POP.1564.FE.IN,34330
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,595
Antigua and Barbuda,ATG,"Population ages 80 and above, female",SP.POP.80UP.FE,1280
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,48908
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,44408
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Arab World,ARB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Arab World,ARB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Arab World,ARB,"Population ages 0-14, female",SP.POP.0014.FE.IN,77155503
Arab World,ARB,"Population ages 0-14, male",SP.POP.0014.MA.IN,80533026
Arab World,ARB,"Population ages 15-64, male",SP.POP.1564.MA.IN,158579567
Arab World,ARB,"Population ages 15-64, female",SP.POP.1564.FE.IN,143630301
Arab World,ARB,"Population ages 80 and above, male",SP.POP.80UP.MA,1086978
Arab World,ARB,"Population ages 80 and above, female",SP.POP.80UP.FE,1652666
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,232530263
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,249137276
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Argentina,ARG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Argentina,ARG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Argentina,ARG,"Population ages 0-14, female",SP.POP.0014.FE.IN,4917781
Argentina,ARG,"Population ages 0-14, male",SP.POP.0014.MA.IN,5187490
Argentina,ARG,"Population ages 15-64, male",SP.POP.1564.MA.IN,15066752
Argentina,ARG,"Population ages 15-64, female",SP.POP.1564.FE.IN,14809317
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,435496
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,858214
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,22941417
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,22596984
Armenia,ARM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Armenia,ARM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Armenia,ARM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Armenia,ARM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Armenia,ARM,"Population ages 0-14, female",SP.POP.0014.FE.IN,281148
Armenia,ARM,"Population ages 0-14, male",SP.POP.0014.MA.IN,303434
Armenia,ARM,"Population ages 15-64, male",SP.POP.1564.MA.IN,939223
Armenia,ARM,"Population ages 15-64, female",SP.POP.1564.FE.IN,1071967
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,22046
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,52867
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1603490
