Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Population ages 0-14, male",SP.POP.0014.MA.IN,9046510,9164057
Afghanistan,AFG,"Population ages 0-14, female",SP.POP.0014.FE.IN,8637685,8755262
Afghanistan,AFG,"Population ages 15-64, male",SP.POP.1564.MA.IN,11023209,11341785
Afghanistan,AFG,"Population ages 15-64, female",SP.POP.1564.FE.IN,10915748,11208054
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,62400,65171
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,41192,42889
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,20475675,20924078
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,20103167,20530683
Africa Eastern and Southern,AFE,"Population ages 0-14, male",SP.POP.0014.MA.IN,150666147,153529033
Africa Eastern and Southern,AFE,"Population ages 0-14, female",SP.POP.0014.FE.IN,148202066,150939629
Africa Eastern and Southern,AFE,"Population ages 15-64, male",SP.POP.1564.MA.IN,201342032,207422236
Africa Eastern and Southern,AFE,"Population ages 15-64, female",SP.POP.1564.FE.IN,207855415,213947837
Africa Eastern and Southern,AFE,"Population ages 80 and above, female",SP.POP.80UP.FE,2109792,2166871
Africa Eastern and Southern,AFE,"Population ages 80 and above, male",SP.POP.80UP.MA,1211644,1244338
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,362165890,371478016
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,369655503,379025748
Africa Western and Central,AFW,"Population ages 0-14, male",SP.POP.0014.MA.IN,106250821,107748208
Africa Western and Central,AFW,"Population ages 0-14, female",SP.POP.0014.FE.IN,103303252,104767561
Africa Western and Central,AFW,"Population ages 15-64, male",SP.POP.1564.MA.IN,137418534,141760331
Africa Western and Central,AFW,"Population ages 15-64, female",SP.POP.1564.FE.IN,135792427,140032845
Africa Western and Central,AFW,"Population ages 80 and above, female",SP.POP.80UP.FE,951541,982183
Africa Western and Central,AFW,"Population ages 80 and above, male",SP.POP.80UP.MA,733196,758808
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,250438879,256499160
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,246948301,252899429
Albania,ALB,"Population ages 0-14, male",SP.POP.0014.MA.IN,249359,243783
Albania,ALB,"Population ages 0-14, female",SP.POP.0014.FE.IN,229028,224185
Albania,ALB,"Population ages 15-64, male",SP.POP.1564.MA.IN,918538,904111
Albania,ALB,"Population ages 15-64, female",SP.POP.1564.FE.IN,942547,926245
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,54184,55236
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,43297,44084
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1373582,1357630
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1404107,1388342
