Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,"Population ages 0-14, male",SP.POP.0014.MA.IN,9164057
Afghanistan,AFG,"Population ages 0-14, female",SP.POP.0014.FE.IN,8755262
Afghanistan,AFG,"Population ages 15-64, male",SP.POP.1564.MA.IN,11341785
Afghanistan,AFG,"Population ages 15-64, female",SP.POP.1564.FE.IN,11208054
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,65171
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,42889
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,20924078
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,20530683
Africa Eastern and Southern,AFE,"Population ages 0-14, male",SP.POP.0014.MA.IN,153529033
Africa Eastern and Southern,AFE,"Population ages 0-14, female",SP.POP.0014.FE.IN,150939629
Africa Eastern and Southern,AFE,"Population ages 15-64, male",SP.POP.1564.MA.IN,207422236
Africa Eastern and Southern,AFE,"Population ages 15-64, female",SP.POP.1564.FE.IN,213947837
Africa Eastern and Southern,AFE,"Population ages 80 and above, female",SP.POP.80UP.FE,2166871
Africa Eastern and Southern,AFE,"Population ages 80 and above, male",SP.POP.80UP.MA,1244338
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,371478016
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,379025748
Africa Western and Central,AFW,"Population ages 0-14, male",SP.POP.0014.MA.IN,107748208
Africa Western and Central,AFW,"Population ages 0-14, female",SP.POP.0014.FE.IN,104767561
Africa Western and Central,AFW,"Population ages 15-64, male",SP.POP.1564.MA.IN,141760331
Africa Western and Central,AFW,"Population ages 15-64, female",SP.POP.1564.FE.IN,140032845
Africa Western and Central,AFW,"Population ages 80 and above, female",SP.POP.80UP.FE,982183
Africa Western and Central,AFW,"Population ages 80 and above, male",SP.POP.80UP.MA,758808
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,256499160
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,252899429
Albania,ALB,"Population ages 0-14, male",SP.POP.0014.MA.IN,243783
Albania,ALB,"Population ages 0-14, female",SP.POP.0014.FE.IN,224185
Albania,ALB,"Population ages 15-64, male",SP.POP.1564.MA.IN,904111
Albania,ALB,"Population ages 15-64, female",SP.POP.1564.FE.IN,926245
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,55236
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,44084
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1357630
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1388342
Algeria,DZA,"Population ages 0-14, male",SP.POP.0014.MA.IN,7218859
Algeria,DZA,"Population ages 0-14, female",SP.POP.0014.FE.IN,6925557
Algeria,DZA,"Population ages 15-64, male",SP.POP.1564.MA.IN,14911772
Algeria,DZA,"Population ages 15-64, female",SP.POP.1564.FE.IN,14164205
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,259114
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,192429
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,23549235
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,22614984
American Samoa,ASM,"Population ages 0-14, male",SP.POP.0014.MA.IN,6580
American Samoa,ASM,"Population ages 0-14, female",SP.POP.0014.FE.IN,6494
American Samoa,ASM,"Population ages 15-64, male",SP.POP.1564.MA.IN,15738
American Samoa,ASM,"Population ages 15-64, female",SP.POP.1564.FE.IN,15121
American Samoa,ASM,"Population ages 80 and above, female",SP.POP.80UP.FE,274
American Samoa,ASM,"Population ages 80 and above, male",SP.POP.80UP.MA,186
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,24001
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,23520
Andorra,AND,"Population ages 0-14, male",SP.POP.0014.MA.IN,5063
Andorra,AND,"Population ages 0-14, female",SP.POP.0014.FE.IN,4840
